jugador,posicion,nombre_casilla,visitas
ana,1,salida,1
ana,2,morado1,1
ana,3,suerte1,0
ana,4,morado2,1
ana,5,impuesto1,2
ana,6,estacion1,0
ana,7,gris1,3
ana,8,suerte2,3
ana,9,gris2,1
ana,10,gris3,2
ana,11,visita_carcel,1
ana,12,rosa1,1
ana,13,impuesto2,2
ana,14,rosa2,0
ana,15,rosa3,0
ana,16,estacion2,3
ana,17,naranja1,1
ana,18,suerte3,3
ana,19,naranja2,1
ana,20,naranja3,0
ana,21,parking,0
ana,22,rojo1,0
ana,23,suerte4,5
ana,24,rojo2,2
ana,25,rojo3,0
ana,26,estacion3,0
ana,27,amarillo1,1
ana,28,amarillo2,0
ana,29,impuesto3,1
ana,30,amarillo3,3
ana,31,carcel,1
ana,32,verde1,0
ana,33,verde2,1
ana,34,suerte5,2
ana,35,verde3,2
ana,36,estacion4,2
ana,37,suerte6,0
ana,38,azul1,1
ana,39,impuesto4,3
ana,40,azul2,0
bob,1,salida,2
bob,2,morado1,2
bob,3,suerte1,0
bob,4,morado2,2
bob,5,impuesto1,0
bob,6,estacion1,0
bob,7,gris1,1
bob,8,suerte2,2
bob,9,gris2,1
bob,10,gris3,1
bob,11,visita_carcel,3
bob,12,rosa1,2
bob,13,impuesto2,0
bob,14,rosa2,2
bob,15,rosa3,1
bob,16,estacion2,2
bob,17,naranja1,1
bob,18,suerte3,2
bob,19,naranja2,3
bob,20,naranja3,1
bob,21,parking,0
bob,22,rojo1,2
bob,23,suerte4,2
bob,24,rojo2,0
bob,25,rojo3,2
bob,26,estacion3,0
bob,27,amarillo1,3
bob,28,amarillo2,1
bob,29,impuesto3,2
bob,30,amarillo3,0
bob,31,carcel,1
bob,32,verde1,2
bob,33,verde2,1
bob,34,suerte5,2
bob,35,verde3,0
bob,36,estacion4,1
bob,37,suerte6,0
bob,38,azul1,0
bob,39,impuesto4,0
bob,40,azul2,3
