posicion,nombre_casilla,visitas
1,salida,4
2,morado1,1
3,suerte1,3
4,morado2,2
5,impuesto1,4
6,estacion1,3
7,gris1,3
8,suerte2,1
9,gris2,1
10,gris3,6
11,visita_carcel,2
12,rosa1,2
13,impuesto2,2
14,rosa2,2
15,rosa3,3
16,estacion2,1
17,naranja1,3
18,suerte3,3
19,naranja2,2
20,naranja3,4
21,parking,2
22,rojo1,3
23,suerte4,1
24,rojo2,2
25,rojo3,4
26,estacion3,5
27,amarillo1,1
28,amarillo2,2
29,impuesto3,2
30,amarillo3,3
31,carcel,1
32,verde1,5
33,verde2,2
34,suerte5,2
35,verde3,1
36,estacion4,5
37,suerte6,1
38,azul1,2
39,impuesto4,2
40,azul2,2
