turno,jugador,propiedad,tipo,color,precio
2,bob,estacion1,estacion,estacion,200
4,diego,gris2,propiedad,gris,100
5,ana,rosa2,propiedad,rosa,140
7,carla,gris3,propiedad,gris,120
8,diego,rosa3,propiedad,rosa,160
9,ana,rojo2,propiedad,rojo,220
14,bob,naranja2,propiedad,naranja,180
16,diego,rojo3,propiedad,rojo,240
18,bob,amarillo3,propiedad,amarillo,280
23,carla,estacion4,estacion,estacion,200
26,bob,morado2,propiedad,morado,60
37,ana,amarillo2,propiedad,amarillo,260
41,ana,verde1,propiedad,verde,300
42,bob,azul1,propiedad,azul,350
47,carla,azul2,propiedad,azul,400
50,bob,gris1,propiedad,gris,100
51,carla,rosa1,propiedad,rosa,140
54,bob,naranja1,propiedad,naranja,180
60,diego,estacion3,estacion,estacion,200
65,ana,verde3,propiedad,verde,320
71,carla,naranja3,propiedad,naranja,200
75,carla,amarillo1,propiedad,amarillo,260
79,carla,verde2,propiedad,verde,300
87,carla,morado1,propiedad,morado,60
99,carla,rojo1,propiedad,rojo,220
132,diego,estacion2,estacion,estacion,200
