turno,jugador,nombre_casilla,tipo_casilla,compra,alquiler,impuesto,parking,bancarrota,eliminado,dinero_inicial,dinero_tras_carcel,dinero_final,props_antes,props_despues
1,ana,suerte2,suerte,no,no,no,no,no,no,1500,1500,1500,0,0
2,bob,rosa1,propiedad,si,no,no,no,no,no,1500,1500,1360,0,1
3,ana,estacion2,estacion,si,no,no,no,no,no,1500,1500,1300,0,1
4,bob,suerte3,suerte,no,no,no,no,no,no,1360,1360,1360,1,1
5,ana,suerte4,suerte,no,no,no,no,no,no,1300,1300,1300,1,1
6,bob,rojo1,propiedad,si,no,no,no,no,no,1360,1360,1140,1,2
7,ana,visita_carcel,visita_carcel,no,no,no,no,no,no,1300,1300,1300,1,1
8,bob,amarillo1,propiedad,si,no,no,no,no,no,1140,1140,880,2,3
9,ana,visita_carcel,visita_carcel,no,no,no,no,no,no,1300,1300,1300,1,1
10,bob,verde1,propiedad,si,no,no,no,no,no,880,880,580,3,4
11,ana,visita_carcel,visita_carcel,no,no,no,no,no,no,1300,1300,1300,1,1
12,bob,azul2,propiedad,si,no,no,no,no,no,580,580,180,4,5
13,ana,visita_carcel,visita_carcel,no,no,no,no,no,no,1300,1300,1300,1,1
14,bob,morado1,propiedad,si,no,no,no,no,no,180,180,120,5,6
15,ana,estacion2,estacion,no,no,no,no,no,no,1300,1300,1300,1,1
16,bob,suerte2,suerte,no,no,no,no,no,no,120,120,120,6,6
17,ana,estacion3,estacion,si,no,no,no,no,no,1300,1300,1100,1,2
18,bob,visita_carcel,visita_carcel,no,no,no,no,no,no,120,120,120,6,6
19,ana,suerte6,suerte,no,no,no,no,no,no,1100,1100,1100,2,2
20,bob,rosa2,propiedad,no,no,no,no,no,no,120,120,120,6,6
21,ana,gris1,propiedad,si,no,no,no,no,no,1100,1100,1000,2,3
22,bob,rojo1,propiedad,no,no,no,no,no,no,120,120,120,6,6
23,ana,gris3,propiedad,si,no,no,no,no,no,1000,1000,880,3,4
24,bob,impuesto3,impuesto,no,no,si,no,no,no,120,120,20,6,6
25,ana,rosa3,propiedad,si,no,no,no,no,no,880,880,720,4,5
26,bob,azul2,propiedad,no,no,no,no,no,no,20,20,20,6,6
27,ana,parking,parking,no,no,no,si,no,no,720,720,770,5,5
28,bob,gris2,propiedad,no,no,no,no,no,no,20,20,20,6,6
29,ana,amarillo1,propiedad,no,si,no,no,no,no,770,770,718,5,5
30,bob,estacion2,estacion,no,si,no,no,no,no,72,72,32,6,6
31,ana,verde2,propiedad,si,no,no,no,no,no,758,758,458,5,6
32,bob,suerte3,suerte,no,no,no,no,no,no,32,32,32,6,6
33,ana,morado1,propiedad,no,si,no,no,no,no,458,458,446,6,6
34,bob,rojo3,propiedad,no,no,no,no,no,no,44,44,44,6,6
35,ana,gris3,propiedad,no,no,no,no,no,no,446,446,446,6,6
36,bob,verde2,propiedad,no,si,no,no,si,no,44,44,674,6,0
37,ana,rosa2,propiedad,si,no,no,no,no,no,506,506,366,6,7
38,bob,morado2,propiedad,si,no,no,no,no,no,674,674,614,0,1
39,ana,parking,parking,no,no,no,si,no,no,366,366,391,7,7
40,bob,visita_carcel,visita_carcel,no,no,no,no,no,no,614,614,614,1,1
41,ana,estacion3,estacion,no,no,no,no,no,no,391,391,391,7,7
42,bob,naranja2,propiedad,si,no,no,no,no,no,614,614,434,1,2
43,ana,verde2,propiedad,no,no,no,no,no,no,391,391,391,7,7
44,bob,amarillo1,propiedad,si,no,no,no,no,no,434,434,174,2,3
45,ana,azul1,propiedad,si,no,no,no,no,no,391,391,41,7,8
46,bob,suerte5,suerte,no,no,no,no,no,no,174,174,174,3,3
47,ana,morado2,propiedad,no,si,no,no,no,no,41,41,29,8,8
48,bob,morado2,propiedad,no,no,no,no,no,no,186,186,186,3,3
49,ana,suerte2,suerte,no,no,no,no,no,no,29,29,29,8,8
50,bob,rosa1,propiedad,si,no,no,no,no,no,186,186,46,3,4
51,ana,impuesto2,impuesto,no,no,si,no,si,no,29,29,664,8,0
52,bob,naranja1,propiedad,no,no,no,no,no,no,46,46,46,4,4
53,ana,naranja2,propiedad,no,si,no,no,no,no,664,664,628,0,0
54,bob,suerte4,suerte,no,no,no,no,no,no,82,82,82,4,4
55,ana,amarillo3,propiedad,si,no,no,no,no,no,628,628,348,0,1
56,bob,impuesto3,impuesto,no,no,si,no,si,no,82,82,302,4,0
57,ana,azul1,propiedad,no,no,no,no,no,no,348,348,348,1,1
58,bob,verde1,propiedad,si,no,no,no,no,no,302,302,2,0,1
59,ana,gris3,propiedad,si,no,no,no,no,no,348,348,228,1,2
60,bob,salida,salida,no,no,no,no,no,no,2,2,2,1,1
61,ana,rosa1,propiedad,si,no,no,no,no,no,228,228,88,2,3
62,bob,visita_carcel,visita_carcel,no,no,no,no,no,no,2,2,2,1,1
63,ana,parking,parking,no,no,no,si,no,no,88,88,225,3,3
64,bob,naranja3,propiedad,no,no,no,no,no,no,2,2,2,1,1
65,ana,verde1,propiedad,no,si,no,no,no,no,225,225,165,3,3
66,bob,amarillo2,propiedad,no,no,no,no,no,no,62,62,62,1,1
67,ana,impuesto4,impuesto,no,no,si,no,no,no,165,165,65,3,3
68,bob,estacion4,estacion,no,no,no,no,no,no,62,62,62,1,1
69,ana,suerte2,suerte,no,no,no,no,no,no,65,65,65,3,3
70,bob,azul2,propiedad,no,no,no,no,no,no,62,62,62,1,1
71,ana,naranja3,propiedad,no,no,no,no,no,no,65,65,65,3,3
72,bob,suerte2,suerte,no,no,no,no,no,no,62,62,62,1,1
73,ana,amarillo1,propiedad,no,no,no,no,no,no,65,65,65,3,3
74,bob,rosa2,propiedad,no,no,no,no,no,no,62,62,62,1,1
75,ana,estacion4,estacion,no,no,no,no,no,no,65,65,65,3,3
76,bob,naranja2,propiedad,no,no,no,no,no,no,62,62,62,1,1
77,ana,morado1,propiedad,si,no,no,no,no,no,65,65,5,3,4
78,bob,rojo3,propiedad,no,no,no,no,no,no,62,62,62,1,1
79,ana,impuesto2,impuesto,no,no,si,no,si,no,5,5,155,4,0
80,bob,suerte5,suerte,no,no,no,no,no,no,62,62,62,1,1
81,ana,naranja2,propiedad,no,no,no,no,no,no,155,155,155,0,0
82,bob,morado1,propiedad,si,no,no,no,no,no,62,62,2,1,2
83,ana,estacion3,estacion,no,no,no,no,no,no,155,155,155,0,0
84,bob,gris1,propiedad,no,no,no,no,no,no,2,2,2,2,2
85,ana,verde2,propiedad,no,no,no,no,no,no,155,155,155,0,0
86,bob,rosa3,propiedad,no,no,no,no,no,no,2,2,2,2,2
87,ana,impuesto4,impuesto,no,no,si,no,no,no,155,155,55,0,0
88,bob,naranja2,propiedad,no,no,no,no,no,no,2,2,2,2,2
89,ana,visita_carcel,visita_carcel,no,no,no,no,no,no,55,55,55,0,0
90,bob,amarillo1,propiedad,no,no,no,no,no,no,2,2,2,2,2
91,ana,estacion2,estacion,no,no,no,no,no,no,55,55,55,0,0
92,bob,visita_carcel,visita_carcel,no,no,no,no,no,no,2,2,2,2,2
93,ana,rojo1,propiedad,no,no,no,no,no,no,55,55,55,0,0
94,bob,visita_carcel,visita_carcel,no,no,no,no,no,no,2,2,2,2,2
95,ana,estacion3,estacion,no,no,no,no,no,no,55,55,55,0,0
96,bob,naranja3,propiedad,no,no,no,no,no,no,2,2,2,2,2
97,ana,suerte6,suerte,no,no,no,no,no,no,55,55,55,0,0
98,bob,estacion3,estacion,no,no,no,no,no,no,2,2,2,2,2
99,ana,morado1,propiedad,no,si,no,no,no,no,55,55,43,0,0
100,bob,verde2,propiedad,no,no,no,no,no,no,14,14,14,2,2
