turno,pagador,cobrador,propiedad,tipo,color,precio_casilla,num_casas,alquiler_teorico,pago_real
12,diego,bob,rosa1,propiedad,rosa,140,0,28,28
14,bob,ana,estacion3,estacion,estacion,200,0,40,40
16,diego,carla,rosa3,propiedad,rosa,160,0,32,32
33,ana,diego,amarillo3,propiedad,amarillo,280,0,56,56
36,diego,ana,gris2,propiedad,gris,100,0,20,20
39,carla,bob,morado2,propiedad,morado,60,0,12,12
42,bob,ana,estacion3,estacion,estacion,200,0,40,40
43,carla,bob,rosa1,propiedad,rosa,140,0,28,28
44,diego,bob,naranja2,propiedad,naranja,180,0,36,36
53,ana,diego,amarillo3,propiedad,amarillo,280,0,56,56
57,ana,carla,verde2,propiedad,verde,300,0,60,60
66,bob,diego,estacion4,estacion,estacion,200,0,40,40
67,carla,bob,naranja2,propiedad,naranja,180,0,36,36
68,diego,bob,naranja2,propiedad,naranja,180,0,36,36
69,ana,carla,rosa3,propiedad,rosa,160,0,32,32
72,diego,ana,estacion3,estacion,estacion,200,0,40,40
74,bob,ana,naranja1,propiedad,naranja,180,0,36,36
75,carla,bob,verde1,propiedad,verde,300,0,60,60
76,diego,bob,verde1,propiedad,verde,300,0,60,60
77,ana,carla,amarillo1,propiedad,amarillo,260,0,52,52
80,diego,bob,azul1,propiedad,azul,350,0,70,70
82,bob,ana,verde3,propiedad,verde,320,0,64,64
87,carla,diego,gris3,propiedad,gris,120,0,24,24
88,diego,ana,naranja1,propiedad,naranja,180,0,36,36
90,bob,carla,estacion1,estacion,estacion,200,0,40,40
91,carla,diego,rosa2,propiedad,rosa,140,0,28,28
94,bob,diego,gris3,propiedad,gris,120,0,24,24
97,ana,carla,amarillo1,propiedad,amarillo,260,0,52,52
98,bob,carla,rosa3,propiedad,rosa,160,0,32,32
99,carla,diego,amarillo3,propiedad,amarillo,280,0,56,56
101,ana,diego,estacion4,estacion,estacion,200,0,40,40
102,bob,carla,rojo1,propiedad,rojo,220,0,44,44
103,carla,bob,azul1,propiedad,azul,350,0,70,70
104,diego,carla,morado1,propiedad,morado,60,0,12,12
105,ana,carla,estacion1,estacion,estacion,200,0,40,40
106,bob,diego,amarillo3,propiedad,amarillo,280,0,56,56
115,carla,diego,rosa2,propiedad,rosa,140,0,28,28
116,diego,bob,naranja2,propiedad,naranja,180,0,36,36
117,ana,carla,amarillo1,propiedad,amarillo,260,0,52,52
120,diego,ana,estacion3,estacion,estacion,200,0,40,40
122,bob,ana,estacion2,estacion,estacion,200,0,40,40
124,diego,ana,verde3,propiedad,verde,320,0,64,64
127,carla,diego,amarillo3,propiedad,amarillo,280,0,56,56
136,diego,carla,rojo1,propiedad,rojo,220,0,44,44
137,ana,carla,rojo1,propiedad,rojo,220,0,44,44
139,carla,ana,gris2,propiedad,gris,100,0,20,20
140,diego,ana,rojo2,propiedad,rojo,220,0,44,44
142,bob,diego,gris3,propiedad,gris,120,0,24,24
143,carla,ana,naranja1,propiedad,naranja,180,0,36,36
144,diego,bob,verde1,propiedad,verde,300,0,60,60
145,ana,diego,estacion4,estacion,estacion,200,0,40,40
146,bob,ana,naranja1,propiedad,naranja,180,0,36,36
148,diego,bob,morado2,propiedad,morado,60,0,12,12
149,ana,carla,estacion1,estacion,estacion,200,0,40,40
153,ana,bob,rosa1,propiedad,rosa,140,0,28,28
156,diego,carla,rosa3,propiedad,rosa,160,0,32,32
157,ana,bob,naranja3,propiedad,naranja,200,0,40,40
161,ana,diego,rojo3,propiedad,rojo,240,0,48,48
163,carla,ana,gris2,propiedad,gris,100,0,20,20
164,diego,carla,verde2,propiedad,verde,300,0,60,60
165,ana,bob,verde1,propiedad,verde,300,0,60,60
166,bob,diego,gris3,propiedad,gris,120,0,24,24
168,diego,bob,azul1,propiedad,azul,350,0,70,70
170,bob,ana,naranja1,propiedad,naranja,180,0,36,36
172,diego,bob,gris1,propiedad,gris,100,0,20,20
173,ana,diego,gris3,propiedad,gris,120,0,24,24
176,diego,bob,rosa1,propiedad,rosa,140,0,28,28
178,bob,ana,verde3,propiedad,verde,320,0,64,64
179,carla,ana,verde3,propiedad,verde,320,0,64,64
180,diego,bob,naranja2,propiedad,naranja,180,0,36,36
181,ana,bob,amarillo2,propiedad,amarillo,260,0,52,52
184,diego,ana,estacion3,estacion,estacion,200,0,40,40
185,ana,bob,verde1,propiedad,verde,300,0,60,60
188,diego,carla,verde2,propiedad,verde,300,0,60,60
190,bob,carla,rosa3,propiedad,rosa,160,0,32,32
191,carla,diego,rosa2,propiedad,rosa,140,0,28,28
195,carla,bob,naranja3,propiedad,naranja,200,0,40,40
196,diego,ana,gris2,propiedad,gris,100,0,20,20
197,ana,carla,morado1,propiedad,morado,60,0,12,12
200,diego,bob,naranja2,propiedad,naranja,180,0,36,36
