turno,jugador,casilla,importe,dinero_antes,dinero_despues,caja_antes,caja_despues
4,diego,impuesto1,200,10000,9800,0,200
18,bob,impuesto3,100,9548,9448,50,150
21,ana,impuesto1,200,9660,9460,150,350
31,carla,impuesto3,100,9462,9362,350,450
32,diego,impuesto1,200,8900,8700,450,650
52,diego,impuesto3,100,8560,8460,650,750
60,diego,impuesto4,100,8516,8416,750,850
62,bob,impuesto3,100,8594,8494,850,950
84,diego,impuesto1,200,8250,8050,475,675
109,ana,impuesto2,150,9380,9230,338,488
110,bob,impuesto4,100,8230,8130,488,588
118,bob,impuesto2,150,8166,8016,588,738
129,ana,impuesto1,200,8922,8722,369,569
130,bob,impuesto3,100,7976,7876,569,669
131,carla,impuesto4,100,8969,8869,669,769
133,ana,impuesto2,150,8722,8572,769,919
141,ana,impuesto3,100,8592,8492,919,1019
152,diego,impuesto2,150,8078,7928,1019,1169
154,bob,impuesto3,100,7916,7816,1169,1269
175,carla,impuesto3,100,9013,8913,1269,1369
192,diego,impuesto4,100,7706,7606,1369,1469
193,ana,impuesto4,100,8396,8296,1469,1569
