id,tipo,oracion
1,o,"El transformer usa mecanismos de atención."
2,o,"El modelo elimina la recurrencia."
3,o,"El codificador contiene seis capas."
4,o,"El decodificador contiene seis capas."
5,o,"Cada capa usa una conexión residual."
6,o,"El modelo produce representaciones continuas."
7,o,"La autoatención relaciona posiciones de una secuencia."
8,o,"El modelo comparte la matriz de pesos."
9,o,"Las codificaciones posicionales usan funciones sinusoidales."
10,o,"El transformer mejora la calidad de traducción."
11,o,"El modelo permite paralelización."
12,o,"La atención calcula una suma ponderada."
13,o,"La red aplica softmax."
14,o,"El decodificador genera una secuencia de salida."
15,o,"La codificación posicional representa el orden de la secuencia."
16,o,"El transformer generaliza bien."
17,oc,"El modelo mejora la calidad y permite paralelización."
18,oc,"El codificador usa autoatención y aplica una red feed-forward."
19,oc,"El modelo elimina la recurrencia pero mantiene la atención."
20,oc,"El decodificador usa autoatención y genera una secuencia de salida."
21,oc,"Las capas producen representaciones continuas y usan conexiones residuales."
22,oc,"El modelo usa embeddings y comparte la matriz de pesos."
23,or,"El transformer es un modelo que usa mecanismos de atención."
24,or,"La autoatención es un mecanismo que relaciona posiciones de una secuencia."
25,or,"El codificador contiene capas que producen representaciones continuas."
26,or,"El modelo usa codificaciones posicionales que representan el orden de la secuencia."
27,ocm,"El transformer es un modelo que usa mecanismos de atención y mejora la calidad de traducción."
28,ocm,"El codificador contiene capas que producen representaciones continuas y usa conexiones residuales."
29,ocm,"El decodificador es un módulo que usa autoatención y genera una secuencia de salida."
30,ocm,"El modelo usa codificaciones posicionales que representan el orden de la secuencia y comparte la matriz de pesos."
